"signal / variable / member name";"context (frame or PDU / RTE port or operation)";"ECU";"bus signal / system variable";"direction";"access";"classification";"hooked";"ASR type";"VTT type";"array length";"bit count";"total bit count";"init value raw";"init value phys";"min value raw";"max value raw";"min value phys";"max value phys";"num_v1";"num_v2";"denom_v1";"unit";"comment"
"CAN::CAN00::::msg_Receive_oCAN00::sig_State_RearLeftDoor_omsg_Receive_oCAN00";"CAN::CAN00::::msg_Receive_oCAN00";"MyECU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"1";"1";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::msg_Receive_oCAN00::sig_State_RearRightDoor_omsg_Receive_oCAN00";"CAN::CAN00::::msg_Receive_oCAN00";"MyECU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"1";"1";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::::msg_Receive_oCAN00::sig_State_RearInteriorLight_omsg_Receive_oCAN00";"CAN::CAN00::::msg_Receive_oCAN00";"MyECU";"BS";"Rx";"";"";"";"";"unsigned int";"0";"1";"1";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"CAN::CAN00::MyECU::msg_Transmit_oCAN00::sig_RearInteriorLight_omsg_Transmit_oCAN00";"CAN::CAN00::MyECU::msg_Transmit_oCAN00";"MyECU";"BS";"Tx";"";"";"";"";"unsigned int";"0";"1";"1";"0";"0";"";"";"";"";"0.00000000";"1.00000000";"1";"";""
"VTT::MyECU::Controller::State";"VTT::MyECU::Controller";"MyECU";"SV";"";"RW";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Controller::PowerSupply";"VTT::MyECU::Controller";"MyECU";"SV";"";"RW";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Controller::ResetPin";"VTT::MyECU::Controller";"MyECU";"SV";"";"RW";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Dio::env_InteriorLightFront";"VTT::MyECU::Dio";"MyECU";"SV";"";"";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Dio::env_DoorFrontLeft";"VTT::MyECU::Dio";"MyECU";"SV";"";"";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Dio::env_DoorFrontRight";"VTT::MyECU::Dio";"MyECU";"SV";"";"";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Dio::env_InteriorLightFrontDEFECT";"VTT::MyECU::Dio";"MyECU";"SV";"";"";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Dio::env_DisplayBusAwake";"VTT::MyECU::Dio";"MyECU";"SV";"";"";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Dio::env_LocalClamp15";"VTT::MyECU::Dio";"MyECU";"SV";"";"";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
"VTT::MyECU::Dio::DioChannelGroup";"VTT::MyECU::Dio";"MyECU";"SV";"";"";"";"";"";"unsigned int";"0";"32";"32";"";"";"";"";"";"";"";"";"";"";""
